Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C2, C3, C4, C5",0402,6,100nF,C363530
C6,0805,1,4.7uF,C384657
"C7, C8",0402,2,15pF,C140684
C9,0603,1,1uF,C3015156
D1,D_SOD-123F,1,D_Schottky,C908229
F1,1206,1,500mA,C492011
J1,TYPE-610-1.6-T3,1,USB_C_Receptacle_16P,C2972115
"J3, J4",Pins_x12,2,Conn_01x12,
J5,Pins_x05,1,Conn_01x05,
"R1, R2",0603,2,5k1,C209245 
"R3, R6",0402,2,10k,C851039
"R4, R5",0402,2,22R,C284431
U1,QFN-44-1EP_7x7mm_P0.5mm_EP5.2x5.2mm,1,ATmega32U4-MU,C112161
U2,SOT-666,1,USBLC6-2P6,C15999
X1,Crystal_SMD_SeikoEpson_FA238-4Pin_3.2x2.5mm,1,16MHz,C251610
